Sample,Date,Distance,CH4,Tw,pCH4atm,U10,Fa
T_1,2018-06-18,1,0.07,19,0.16,1.792,0.048
T_2,2018-06-18,19,0.05,19,0.16,1.13,0.082
T_3,2018-06-18,33,0.65,18,0.16,1.744,0.101
T_4,2018-06-18,67,0.04,17.5,0.16,1.683,0.102
T_5,2018-06-18,110,0.04,19,0.16,1.263,0.096
T_6,2018-06-18,145,0.05,18,0.16,1.335,0.092
T_7,2018-06-18,137,0.04,19,0.16,2.056,0.12
T_8,2018-06-18,98,0.04,19,0.16,1.96,0.126
T_9,2018-06-18,55,0.05,19,0.16,2.08,0.141
T_10,2018-06-18,28,0.04,19,0.16,1.623,0.087
T_11,2018-06-18,15,0.06,19,0.16,1.299,0.087
